EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
263231,KITTITAS CO.,ELLENSBURG,09/19/2010,1425,Lightning, , ,0,0,60000,0,WA,PST-8, ,45374,C,37,PDT,0,0,Fire Department/Rescue, , , ,1,SSW,1,SSW,ELLENSBURG,09/19/2010,1425,46.9866,-120.534,46.9866,-120.534,"Lightning struck an 80 foot fir tree and started a house fire.  The lightning split the tree and the energy was transferred into the cast iron sewer pipe and into the home catching the house on fire.  A large piece of the split tree hit a car that was parked across the street.","Afternoon thunderstorms produced isolated damage.",1
252459,GRANT CO.,EPHRATA,09/19/2010,1600,Heavy Rain, , ,0,0,5000,0,WA,PST-8, ,43381,C,25,OTX,0,0,County Official, , , ,1,W,1,W,EPHRATA,09/19/2010,1645,47.3232,-119.5591,47.3232,-119.5591,"","A thunderstorm containing very heavy rainfall tracked through Ephrata resulting in Urban Flooding.  Storm drains were overwhelmed by the heavy rain with a road bed washed out.  Water from a sewer backed up towards a house.  Water in the city streets got as high as 18 to 20 inches deep.  The Ephrata Airport reported 0.29 inches of rain in 25 minutes.  Other rain gauges just west of Ephrata received around a half inch of rain.",2
258526,OKANOGAN CO.,JANIS,09/19/2010,1700,Flash Flood, , ,0,0,423000,0,WA,PST-8, ,44574,C,47,OTX,0,0,Newspaper,Heavy Rain, , ,2,ESE,2,SE,JANIS,09/19/2010,1830,48.6352,-119.43,48.6308,-119.431,"","A thunderstorm containing very heavy rain led to a significant road washout just south of Tonasket on McLaughlin Canyon and Hardy Roads.  McLaughlin Canyon Road was washed out 10 feet deep and 15 feet across.  Hail to the size of dimes was also observed during the thunderstorm.  Some trails on a residence property was also washed out.",3
264462,SOUTH COAST (ZONE), ,10/23/2010,2140,High Wind,59.00, ,0,0,0,0,WA,PST-8,MG,45548,Z,21,PQR,0,0,Coast Guard, , , , , , , , ,10/24/2010,310, , , , ,"Strong winds were reported at Cape Disappointment with sustained winds of 40 kts and gusts to 59 kts.","A strong Pacific frontal system brought strong winds to the southern Washington coast.",4
273234,WEST SLOPES CENTRAL CASCADES AND PASSES (ZONE), ,10/24/2010,1100,Heavy Snow, , ,0,0,0,0,WA,PST-8, ,46958,Z,519,SEW,0,0,Park/Forest Service, , , , , , , , ,10/25/2010,1100, , , , ,"The NW Weather and Avalanche Center (NWAC) weather station at Paradise recorded 11 inches snow between 11 am Oct 24 and 11 am Oct 25.","A prolonged winter storm brought the first heavy snow event of the season to the Cascades and Olympic Mountains from Oct 24-26.",5
273228,WEST SLOPES NORTHERN CASCADES AND PASSES (ZONE), ,10/24/2010,1100,Heavy Snow, , ,0,0,0,0,WA,PST-8, ,46958,Z,518,SEW,0,0,Park/Forest Service, , , , , , , , ,10/25/2010,1100, , , , ,"The NW Weather and Avalanche Center (NWAC) weather station at Mt Baker recorded 14 inches snow between 11 am Oct 24 and 11 am Oct 25.","A prolonged winter storm brought the first heavy snow event of the season to the Cascades and Olympic Mountains from Oct 24-26.",6
273224,OLYMPICS (ZONE), ,10/24/2010,1100,Heavy Snow, , ,0,0,0,0,WA,PST-8, ,46958,Z,513,SEW,0,0,Park/Forest Service, , , , , , , , ,10/25/2010,1100, , , , ,"The NW Weather and Avalanche Center (NWAC) weather station at Hurricane Ridge recorded 12 inches of snow between 11 am Oct 24 and 11 am Oct 25.","A prolonged winter storm brought the first heavy snow event of the season to the Cascades and Olympic Mountains from Oct 24-26.",7
265168,SOUTH COAST (ZONE), ,10/24/2010,1318,Coastal Flood, , ,0,0,150000,0,WA,PST-8, ,45703,Z,21,PQR,0,0,Broadcast Media, , , , , , , , ,10/25/2010,1330, , , , ,"A storm surge occurred at high tide at Washaway Beach (near Cape Shoalwater) and consumed a beach cabin.","A strong Pacific frontal system produced a storm surge along the south Washington coast near Washaway Beach.",8
264690,SOUTH WASHINGTON CASCADES (ZONE), ,10/24/2010,1400,Heavy Snow, , ,0,0,0,0,WA,PST-8, ,45588,Z,19,PQR,0,0,Mesonet, , , , , , , , ,10/26/2010,1600, , , , ,"Snowfall estimates were reported to be 21 to 22 inches over the area, based on reports from the Pigtail Peak, Sheep Canyon and Surprise Lakes SNOTEL sites.","A strong Fall storm brought the first heavy snow accumulations to the south Washington Cascades.",9
273235,WEST SLOPES CENTRAL CASCADES AND PASSES (ZONE), ,10/24/2010,1500,Heavy Snow, , ,0,0,0,0,WA,PST-8, ,46958,Z,519,SEW,0,0,Park/Forest Service, , , , , , , , ,10/26/2010,1000, , , , ,"The NW Weather and Avalanche Center (NWAC) weather station at Paradise recorded 24 inches snow between 3 pm Oct 24 and 3 pm Oct 26.","A prolonged winter storm brought the first heavy snow event of the season to the Cascades and Olympic Mountains from Oct 24-26.",10
